Question,Correct
सबै भन्दा ठुलो उच्च समस्थल (पमिर) कुन हो ?  ,Tibet
"विश्वको सबै भन्दा ठुलो र धेरै जनाले काम गर्न सक्ने Office, The Pentagon, USA मा लगभग कति जनाले काम गर्दछन् ?  ","32,000"
नेपालको करीब ८३ प्रतिसत भू-भाग पर्वातिये क्षेत्रले ढाकेको छ भने यस क्षेत्रमा कति प्रतिसत जनसंख्या बसोबास गर्छन ?  ,52 %
रुसी क्रान्ति कति चरणमा सम्पन्न भएको थियो ?  ,3
विश्वको सुन्दरी प्रतियोगिताको आरम्भ कहिले भएको थियो ?  ,1952 AD
२०१८ बैशाख १ गते सहिद गेट को उद्घाटन कसले गरेका थिए ?  ,King Mahendra
Prithvi Narayan Shah ले  कोसंग मितेरी लगाएका थिए ?  ,विरनरशिह मल्ल
नेपालका सार्वप्रथम   महिला राजदूत को हुन् ?  ,विन्देश्वरी शाह
Prithvi Narayan Shah को हत्याको षड्यन्त्र गर्ने को थिए ?  ,Karna Sen
तिनाउ' जलविघुत आयोजना कुन जिल्लामा पर्दछ।  ,Rupandehi
नेपालको केन्द्रिय बैंक कुन हो ?  ,नेपाल राष्ट्र बैंक
Monsanto कुन देशको विवादित बहु-राष्ट्रिय कृषि कम्पनी हो ?  ,United States of America
फिल्म हल नभएको देशः  ,Saudi Arabia
Astronomical Telescope को आविस्कार कहिले भएको हो ?  ,सन् १६०९
Brian Lara is related with which sport?  ,Cricket
कोपा अमेरिका कप -२०१९ उपाधि जित्ने राष्ट्र कुन हो ?  ,  ब्राजिल
विश्वभर सञ्चालित ‘जिरो हंगर च्यालेन्ज अभियान’ लाई आत्मसात् गर्दै नेपालले कहिलेसम्मा भोकमरी अन्त्य गर्ने प्रतिबद्धता जनाएको छ ?  ,सन् २०२५
विश्वमा सबैभन्दा धेरै रोबोट उत्पादन गर्ने राष्ट्र कुन हो ?  ,जापान
"एउटा समारोहमा सहभागीले हात मिलाउदा जम्मा 1326 पटक मिलाएछन,भने जम्मा कति जना सहभागी थिए??  ",52 जना
ABBCCCDDDD......को 50 औ अक्षर के आउछ??  ,J
भुलवस एउटा विधार्थीको अंक 63 को ठाउमा 83 लेखियो जसले गर्दा सम्पुर्ण विधार्थीको को अंक आधा(1/2) ले वृध्दि हुन पुग्यो भने कक्षामा कति विधार्थी होलान??  ,40 जना
"""संबिधान जिबन को बाटो हो, जसको छनोट राज्य आफैले गर्दछ"" यो भनाइ कसको हो ?  ",अरस्तु
नेपाली भाषा लाई भारत को संबिधान को कति औ अनुसूची मा राखिएको छ ?  ,८ औ
नेपाल को पहिलो लिखित संबिधान कुन हो?    ,"नेपाल सरकार को बैधानिक कानुन, २००४"
सुर्यको नजिक रहेको तारा कुन हो ?  ,Proxima Centauri
Surkhet जिल्लाको सदरमुकाम कुन हो ?  ,Birendranagar
How many districts are there in Mechi Zone?  ,4
फाल्गुनन्दको जन्म कहिले भएको थियो ?  ,"वि,स. १९४२"
मौलाकालिका मन्दिर कुन जिल्लामा पर्दछ ?  ,Nawalparasi
"भानुभक्तको बारेमा खोज-खाज गर्ने काम र उनलाई ""आदि कवि"" भनेर कसले चिनायका हुन् ?  ",Motiram Bhatta
तल दिएका मध्ये को नेपाली सेनाको चिफ होइन ?  ,Kul Bahadur Khadka
Where was Aristotle born?  ,"Stagira, Greece"
कौटिल्यका अनुसार राज्यको सम्प्रभुता कसमा निहित हुन्छ ?  ,राजा
सानिमा बैकंले प्रत्येक बर्ष पत्रकारिता क्षेत्रमा उत्कृष्ट योगदान पुर्याउने व्यक्तिलाई पुरस्कृत गर्ने गरी स्थापना गरको पाँच लाख रुपियाँ राशीको पुरस्कार कुन हो ?  ,सानिमा राष्ट्रिय पत्रकारिता पुरस्कार
श्रम स्वीकृति लिएर बैदेसिक रोजगारमा विश्वका विभिन्न मुलुकमा विभिन्न पेशामा काम गर्न गएका नेपाली को संख्या २०७० साल कार्तिक मसान्त सम्म कति पुगेको छ ?  ,३० लाख २१ हजार ३ सय २
सबै भन्दा ठुलो अन्तराष्ट्रिय बित्तिय संस्था कुन हो ?  ,World Bank
Michael Schumacher is related with which game?  ,F1
Fernando Alonso is related with which game?  ,F1
नेपाल दुरसंचार प्राधिकरणको तथ्यांक अनुसार नेपालमा मोबिले प्रयोगकर्ता को संख्या कति पुगेको छ ? (2070 BS को Data)   ,एक करोड ९४ लाख ३ हजार दुई सय ७३
१३औ सग गमे- २०१९(काठमाडौँ -पोखरा) कति रजत  पदक  वितरण गरिने भएको छ ?  , ३१७
