Question,Answer1,Answer2,Answer3,Answer4,Correct
सबैभन्दा गहिरो नदी कुन हो ?,Bagmati,Karnali,Arun,Narayani,
तराई प्रदेशमा कति ओटा जिल्लाहरु पर्दछ ?,20,25,15,39,
How many districts are there in eastern development region of Nepal?,15,16,17,14,
Mid-Western Development Region मा कति ओटा अञ्चल छन् ?,4,2,5,3,
Mid-Western Development Region मा कति ओटा जिल्ला हरु छन् ?,18,14,15,16,
Which is the Highest Mountain of Africa?,Kilimanjaro,Mount Kenya,Mt Baker,Mt Stanley,
"""गौरीफान्टा नाका"" नेपालको कुन जिल्लामा पर्दछ ?",Kailali,Kanchanpur,Bajura,Rolpa,
कुन ग्रहमा वायुमण्डल छैन ?,Venus,Jupiter,Mercury,Uranus,
मंगल ग्रहमा कती ओटा उप-ग्रह हरु छन् ?,1,3,0,2,
पृथ्वी बाट सबै भन्दा नजिक रहेको तारा कुन हो ?,Venus,Mercury,Sun,Mars,
नेपालगन्ज -सुर्खेत मार्गलाई के भनिन्छ ?,Prithvi highway,Ratna highway,Amarsingh highway,Bp highway,
"कुन महादेश लाई ""हिम चादर""(ice sheet) उपन|मले चिनिन्छ ?",Antarctica,North America,Europe,North Asia,
Which is the Capital of Cambodia?,Brazzaville,Ottawa,Djibouti,Phnom Penh,
Far Western Development Region मा कति ओटा अञ्चलहरु छन् ?,3,5,2,4,
Myagdi जिल्लाको सदरमुकाम कुन हो ?,Beni,Kusma,Jomsom,Baglung,
How many districts are there in Sagarmatha Zone?,6,4,8,5,
Gulmi जिल्लाको सदरमुकाम कुन हो ?,Tansen,Tamghas,Sandhikharka,Parasi,
संसारकै सबै भन्दा ठुलो मन्दिर कुन हो ?,Temple of Saint Sava (Serbia),Birla Mandir (India),Angkor Wat Temple (Cambodia),Akshardham Temple (India),
सगरमाथालाई अर्को के नामले चिनिन्छ ?,पहिलो ध्रुव,दोस्रो ध्रुव,चौथो ध्रुव,तेस्रो ध्रुव,
सबै भन्दा गहिरो महासागर कुन हो ?,प्रशान्त,सुमेरु,कुमेरु,हिन्द,
सबैभन्दा कम श्लोक भएको पुराण कुन हो ?,वामन पुराण,गरुड पुराण,मार्कण्डेय पुराण,अग्नि पुराण,
बोधिसत्व अवतार मानिने लिच्छवि राजा को हुन ?,Amshuverma,Kamdev,Shivadev,Mandev,
बहादुर शाहले पस्चिम किल्ला कागड़ासम्मको रक्षाथ कसलाई जिम्मा दिएका थिए ?,भिमसेन थापा,चन्द्र सम्सेर,कालु पाण्डे,अमरसिह थापा,
'सी' बर्गका राणाहरुलाई उपत्यका बाहिर निस्कासन गर्ने राणा प्रधानमन्त्री को हुन् ?,Chandra samser,Vim samser,Dev samser,Juddha samser,
इस्ट टिमोर कुन महादेशमा पर्दछ ?,Africa,Europe,America,Asia,
मोटर चड्ने पहिलो राणा प्रधानमन्त्री को हुन् ?,Bir Shumsher,Dev Shumsher,Juddha Shumsher,Chandra Shumsher,
चन्द्र प्रभावतीका कति सन्तान थिए ?,३,४,उनी नि:सन्तान थिइन,५,
आफ्नो पनाति राजगद्धी मा बसेको देखने राजा को हुन् ?,King Tribhuwan,King Rajendra,King Surendra,King Pirthivi Bir Bikram,
यान्त्रिक क्रान्तिको परिणाम स्वरूप कुन शक्तिको आविस्कार भयो ?,आणविक,सबै उत्तर ठिक छन्,वाफ,जलस्रोत,
नेपालमा कति किसिमका लोक बाजाहरु छन् ?,५०० किसिमका,२५० किसिमका,२०० किसिमका,१५० किसिमका,
"आफ्ना भाई , छोराहरुका लागि उमेरको जेस्ठताका आधारमा रोलक्रममा प्रधानमन्त्री हुने परम्परा कसले बासालेका थिए ?",चन्द्र सम्सेर,जंगबहादुर,पदम सम्सेर,बिर सम्सेर,
भक्तपुरका अन्तिम राजा को थिए ?,रणजीत मल्ल,रत्न मल्ल,श्री निवाश मल्ल,भूपतिन्द्र मल्ल,
रोम साम्राज्य का निर्माता को थिए?,पिटर अलेवार्ड,नेमकुल,सोलोमोन,जुलिएस सिजर,
२०७० सालको नोना कोइराला स्मृति राष्ट्रिय पत्रकारिता पुरस्कार कसलाई प्रदान गरियो ?,Biram Bhattarai,Hari Bhattarai,Bikram Niraula,Rajendra Pandey,
From which country started Newspaper?,Japan,China,India,Thiland,
दुरबिन को प्रयोग गर्ने प्रथम नेपाली राजा को हुन् ?,Surendra Shah,Pratap Malla,Jay Prakash Malla,Pirthivi Narayan Shah,
Who is the writer of the book Let's Visit Nepal?,Tony Hegon,FD Hemilton,Aung San Suu Kyi,Daniel Wright,
राजा जनकको उपदेश कुन सभ्यताको आधारको रुपमा लिईन्छ ?,सिन्धुघाँटी,मानव,मिश्र,हिन्दु,
कुन राजा को पालामा बेलायतमा रक्तहीन क्रान्ति भएको थियो?,Charles II,Charles V,Charles VII,William III,
"नेपाल , भारत  र बेलायत बीच त्रिपक्षीय समझौता कहिले भएको थियो?",सन् १९६० सेप्तेम्बेर ११,सन् १९५०  अगष्ट १,सन् १९५४ अप्रिल २५,सन् १९४७ नेवेम्बेर ९,
एउटा गाविसमा कति वडा हुन्छन ?,१३,७,९,११,
राजनैतिक दलले कम्तिमा कति वर्षमा दलका पदाधीकारीहरुको निर्वाचन गर्नुपर्दछ ?,५,६,७,४,
नेपाल अधिराज्यको संविधान २०४७ कहिले घोषणा गरिएको थियो ?,2048/7/23,2047/03/03,2047/7/23,2047/8/28,
कार्ल मार्क्सको मिर्तु कहाँ भएको थियो ?,बेलायत,अमेरिका,जर्मनी,जापान,
लमजुंगका अन्तिम राजा कसलाई मानिन्छ ?,रणबहादुर शाह,दिव्य शाह,धर्म शाह,वीरमदन शाह,
